,Date,CPI
2,2012Q1,229.392
5,2012Q2,229.478
8,2012Q3,231.407
11,2012Q4,229.601
14,2013Q1,232.773
17,2013Q2,233.504
20,2013Q3,234.149
23,2013Q4,233.049
26,2014Q1,236.293
29,2014Q2,238.343
32,2014Q3,238.031
35,2014Q4,234.812
38,2015Q1,236.119
41,2015Q2,238.638
44,2015Q3,237.945
47,2015Q4,236.525
50,2016Q1,238.132
53,2016Q2,241.018
56,2016Q3,241.428
59,2016Q4,241.432
62,2017Q1,243.801
65,2017Q2,244.955
68,2017Q3,246.819
71,2017Q4,246.524
74,2018Q1,249.554
77,2018Q2,251.989
80,2018Q3,252.439
83,2018Q4,251.233
86,2019Q1,254.202
89,2019Q2,256.143
92,2019Q3,256.759
95,2019Q4,256.974
98,2020Q1,258.115
101,2020Q2,257.797
104,2020Q3,260.28
107,2020Q4,260.474
110,2021Q1,264.877
113,2021Q2,271.696
