date,SUUR0000SAH
2012-01,130.944
2012-02,131.026
2012-03,131.235
2012-04,131.392
2012-05,131.569
2012-06,132.227
2012-07,132.324
2012-08,132.424
2012-09,132.54
2012-10,132.444
2012-11,132.48
2012-12,132.617
2013-01,133.036
2013-02,133.383
2013-03,133.52
2013-04,133.724
2013-05,134.25
2013-06,134.9
2013-07,135.108
2013-08,135.185
2013-09,135.288
2013-10,135.048
2013-11,135.104
2013-12,135.374
2014-01,136.203
2014-02,136.634
2014-03,137.284
2014-04,137.122
2014-05,137.738
2014-06,138.413
2014-07,138.772
2014-08,138.81
2014-09,138.849
2014-10,138.746
2014-11,138.63
2014-12,138.762
2015-01,139.2
2015-02,139.405
2015-03,139.604
2015-04,139.779
2015-05,140.011
2015-06,140.761
2015-07,141.123
2015-08,141.177
2015-09,141.377
2015-10,141.214
2015-11,141.124
2015-12,141.157
2016-01,141.661
2016-02,141.936
2016-03,142.22
2016-04,142.419
2016-05,142.966
2016-06,143.827
2016-07,144.134
2016-08,144.333
2016-09,144.663
2016-10,144.757
2016-11,144.719
2016-12,145.039
2017-01,145.784
2017-02,146.182
2017-03,146.338
2017-04,146.581
2017-05,147.076
2017-06,147.763
2017-07,147.796
2017-08,148.229
2017-09,148.451
2017-10,148.571
2017-11,148.591
2017-12,148.926
2018-01,149.519
2018-02,149.995
2018-03,150.363
2018-04,150.674
2018-05,151.153
2018-06,151.579
2018-07,151.887
2018-08,152.119
2018-09,152.181
2018-10,152.329
2018-11,152.426
2018-12,152.799
2019-01,153.374
2019-02,153.785
2019-03,154.284
2019-04,154.579
2019-05,154.99
2019-06,155.699
2019-07,156.055
2019-08,156.085
2019-09,156.415
2019-10,156.324
2019-11,156.371
2019-12,156.562
2020-01,157.285
2020-02,157.666
2020-03,157.63
2020-04,157.715
2020-05,158.086
2020-06,158.643
2020-07,158.945
2020-08,159.188
2020-09,159.344
2020-10,159.266
2020-11,159.422
2020-12,159.631
2021-01,160.018
2021-02,160.478
2021-03,161.018
2021-04,161.761
2021-05,162.571
2021-06,163.571
2021-07,164.297
